_S__Malate
Acetyl_CoA
Fumarate
cis_Aconitate
_6_Phospho_D_gluconate
Orthophosphate
Pyruvate
NADPplus
NADPH
NADH
NADplus
ATP
H2O
_2_Oxoglutarate
Oxaloacetate
Ubiquinone
D_Erythrose_4_phosphate
Ubiquinol
ADP
Isocitrate
D_Ribulose_5_phosphate
D_Xylulose_5_phosphate
D_Glucose_6_phosphate
_3_Phospho_D_glyceroyl_phosphate
CoA
CO2
D_Ribose_5_phosphate
Glycerone_phosphate
D_Glucose
D_Fructose_1_6_bisphosphate
D_Glyceraldehyde_3_phosphate
Phosphoenolpyruvate
Citrate
Succinyl_CoA
_3_Phospho_D_glycerate
D_Glucono_1_5_lactone_6_phosphate
D_Fructose_6_phosphate
_2_Phospho_D_glycerate
Succinate
Sedoheptulose_7_phosphate
